login_id,user_id,username,timestamp,ip_address,device_type,browser,os,country,login_success,auth_method,latency_ms,login_duration_sec,failed_attempts_before,session_duration_min
1,1127,user_1275,2025-04-18 11:32:28,192.168.190.29,desktop,Chrome,Windows,BR,1,password+otp,221,4.21,3,35.0
2,1460,user_1334,2025-08-15 09:42:40,192.168.146.25,desktop,Chrome,iOS,FR,1,password_only,225,3.5,0,3.53
3,861,user_1744,2025-05-27 11:37:52,192.168.217.127,desktop,Chrome,Linux,US,1,password+otp,240,3.44,1,5.07
4,1295,user_833,2025-08-05 17:40:18,192.168.10.19,tablet,Firefox,Windows,BR,1,password_only,192,2.45,0,13.19
5,1131,user_140,2025-02-25 23:37:03,192.168.117.55,desktop,Firefox,iOS,US,0,password+push,318,2.9,1,2.16
6,1096,user_792,2025-08-27 00:36:42,192.168.172.195,tablet,Firefox,Windows,BR,1,sso,264,2.55,1,6.86
7,1725,user_546,2025-02-04 18:39:20,192.168.46.203,desktop,Edge,Android,BR,1,password_only,207,4.04,0,22.19
8,1045,user_1845,2025-05-14 21:13:39,192.168.88.247,mobile,Chrome,Android,IN,1,password_only,285,1.37,0,12.43
9,1639,user_1017,2025-01-13 16:06:16,192.168.57.9,desktop,Safari,Windows,GB,1,password+otp,278,2.15,1,16.59
10,122,user_1928,2025-04-19 03:00:52,192.168.21.70,desktop,Chrome,macOS,US,1,password+otp,173,4.45,0,1.05
11,467,user_1554,2025-02-20 16:37:01,192.168.23.193,desktop,Chrome,Linux,BR,1,password_only,236,3.23,2,5.77
12,1239,user_57,2025-02-01 21:43:27,192.168.95.212,mobile,Chrome,Windows,GB,1,sso,236,4.47,0,29.1
13,331,user_112,2025-10-15 12:11:27,192.168.188.6,desktop,Chrome,Android,BR,1,sso,203,4.0,0,17.05
14,1483,user_5,2024-12-24 23:39:04,192.168.71.244,desktop,Chrome,iOS,BR,1,sso,141,4.12,1,0.02
15,88,user_1434,2025-08-10 22:22:35,192.168.242.126,mobile,Chrome,Linux,US,1,password+otp,200,3.51,0,18.41
16,1397,user_1438,2025-10-21 18:41:14,192.168.37.148,desktop,Chrome,iOS,CN,1,password_only,351,2.21,1,2.86
17,1124,user_1206,2024-11-03 19:44:21,192.168.135.120,desktop,Edge,Windows,BR,1,password+otp,198,3.09,0,2.83
18,872,user_1037,2025-07-09 16:52:56,192.168.88.27,mobile,Chrome,Linux,US,1,password+otp,321,1.5,1,52.95
19,1688,user_1363,2025-01-27 20:54:34,192.168.91.53,desktop,Chrome,macOS,IN,1,password_only,247,2.8,0,68.99
20,131,user_1821,2024-11-11 08:04:31,192.168.158.115,mobile,Safari,Windows,DE,1,password+push,263,2.35,1,14.99
21,1686,user_1283,2025-03-23 14:42:53,192.168.227.216,desktop,Firefox,iOS,IN,1,password+push,152,0.77,0,17.9
22,1333,user_90,2025-10-03 21:54:36,192.168.115.119,desktop,Chrome,Android,RU,1,password+otp,343,3.51,1,10.45
23,770,user_616,2024-10-31 20:27:51,192.168.40.36,desktop,Chrome,Android,US,1,password+otp,414,3.39,0,42.97
24,344,user_891,2025-05-30 03:16:51,192.168.124.165,tablet,Firefox,macOS,BR,1,password+otp,194,4.51,0,14.79
25,1516,user_698,2025-04-28 13:38:07,192.168.178.75,mobile,Chrome,Android,BR,1,password+otp,354,1.53,0,52.53
26,1438,user_1274,2025-09-11 08:14:50,192.168.36.100,tablet,Chrome,macOS,GB,1,password_only,148,4.3,1,5.02
27,806,user_1279,2024-11-27 05:15:26,192.168.30.189,desktop,Chrome,Linux,RU,1,password+otp,245,0.22,1,1.99
28,386,user_1612,2025-07-03 07:34:12,192.168.145.89,mobile,Firefox,iOS,GB,1,password+otp,156,2.82,2,87.5
